gid spike-times
10 58.0,117.0,179.0,231.0,308.0,368.0,436.0,500.0,560.0,632.0,703.0,764.0,822.0,893.0,959.0,1028.0,1091.0,1165.0,1236.0,1309.0,1370.0,1427.0,1488.0,1560.0,1636.0,1707.0,1771.0,1841.0,1913.0,1973.0,2035.0,2112.0,2168.0,2234.0,2303.0,2358.0,2426.0,2490.0,2541.0,2618.0,2688.0,2749.0,2806.0,2859.0,2938.0,2998.0,3064.0,3122.0,3188.0,3238.0,3314.0,3384.0,3454.0,3500.0,3580.0,3648.0,3702.0,3760.0,3840.0,3898.0,3967.0,4033.0,4102.0,4158.0,4217.0,4272.0,4352.0,4428.0,4497.0,4556.0,4628.0,4696.0,4754.0,4815.0,4903.0,4970.0,5032.0,5104.0,5169.0,5226.0,5302.0,5357.0,5414.0,5474.0,5530.0,5594.0,5666.0,5733.0,5796.0,5864.0,5948.0,6019.0,7090.652,8085.652,8170.732,8225.732,8299.732,8365.732,8440.732,8513.732,8577.732,8640.732,8706.732,8767.732,8834.732,8901.732,8969.732,9044.732,9110.732,9172.732,9242.732,9309.732,9379.732,9448.732,9512.732,9571.732,9641.732,9706.732,9766.732,9824.732,9886.732,9945.732
11 65.0,135.0,217.0,296.0,363.0,420.0,488.0,565.0,628.0,692.0,762.0,829.0,899.0,965.0,1027.0,1090.0,1160.0,1231.0,1298.0,1378.0,1439.0,1501.0,1578.0,1645.0,1710.0,1779.0,1836.0,1898.0,1963.0,2032.0,2103.0,2162.0,2215.0,2289.0,2362.0,2436.0,2502.0,2565.0,2629.0,2695.0,2771.0,2828.0,2883.0,2952.0,3010.0,3082.0,3141.0,3214.0,3297.0,3359.0,3427.0,3500.0,3563.0,3614.0,3686.0,3773.0,3842.0,3916.0,3986.0,4033.0,4084.0,4150.0,4210.0,4275.0,4346.0,4417.0,4476.0,4540.0,4595.0,4660.0,4726.0,4799.0,4874.0,4941.0,5008.0,5064.0,5130.0,5203.0,5262.0,5339.0,5412.0,5484.0,5545.0,5606.0,5669.0,5731.0,5806.0,5876.0,5939.0,6005.0,7069.652,8050.652,8180.732,8231.732,8292.732,8361.732,8439.732,8509.732,8580.732,8637.732,8712.732,8787.732,8842.732,8907.732,8982.732,9057.732,9129.732,9219.732,9283.732,9350.732,9416.732,9492.732,9549.732,9617.732,9690.732,9754.732,9816.732,9882.732,9936.732
12 67.0,152.0,217.0,279.0,357.0,419.0,483.0,557.0,611.0,679.0,744.0,818.0,891.0,963.0,1032.0,1087.0,1159.0,1233.0,1299.0,1366.0,1431.0,1493.0,1556.0,1622.0,1687.0,1762.0,1834.0,1897.0,1962.0,2029.0,2089.0,2155.0,2223.0,2305.0,2385.0,2454.0,2518.0,2594.0,2669.0,2747.0,2817.0,2888.0,2972.0,3042.0,3120.0,3182.0,3235.0,3298.0,3376.0,3441.0,3509.0,3576.0,3652.0,3713.0,3778.0,3850.0,3914.0,3983.0,4058.0,4127.0,4196.0,4256.0,4321.0,4398.0,4474.0,4546.0,4617.0,4700.0,4775.0,4832.0,4893.0,4968.0,5026.0,5090.0,5148.0,5219.0,5267.0,5347.0,5406.0,5493.0,5570.0,5636.0,5709.0,5774.0,5835.0,5906.0,5971.0,6034.0,7088.652,8058.652,8172.732,8241.732,8311.732,8375.732,8451.732,8521.732,8582.732,8656.732,8720.732,8801.732,8861.732,8915.732,8999.732,9070.732,9144.732,9221.732,9286.732,9343.732,9415.732,9479.732,9546.732,9611.732,9673.732,9736.732,9810.732,9867.732,9928.732
13 52.0,108.0,183.0,264.0,327.0,394.0,465.0,525.0,605.0,659.0,710.0,770.0,855.0,910.0,979.0,1048.0,1098.0,1177.0,1252.0,1324.0,1376.0,1439.0,1509.0,1568.0,1653.0,1721.0,1778.0,1836.0,1913.0,1976.0,2045.0,2129.0,2188.0,2252.0,2326.0,2384.0,2472.0,2540.0,2601.0,2664.0,2720.0,2783.0,2840.0,2894.0,2971.0,3043.0,3090.0,3139.0,3209.0,3279.0,3348.0,3416.0,3497.0,3566.0,3634.0,3692.0,3770.0,3839.0,3902.0,3964.0,4029.0,4091.0,4145.0,4204.0,4266.0,4332.0,4385.0,4447.0,4505.0,4574.0,4629.0,4696.0,4764.0,4841.0,4907.0,4962.0,5034.0,5110.0,5183.0,5250.0,5325.0,5381.0,5461.0,5529.0,5584.0,5639.0,5702.0,5756.0,5814.0,5895.0,5953.0,6000.0,6066.0,7099.652,8037.652,8165.732,8236.732,8301.732,8371.732,8446.732,8512.732,8582.732,8646.732,8719.732,8779.732,8842.732,8906.732,8964.732,9022.732,9079.732,9142.732,9207.732,9272.732,9340.732,9416.732,9494.732,9560.732,9623.732,9695.732,9754.732,9822.732,9883.732,9952.732
14 68.0,130.0,189.0,250.0,311.0,384.0,452.0,512.0,568.0,639.0,687.0,756.0,826.0,900.0,954.0,1015.0,1093.0,1150.0,1214.0,1280.0,1371.0,1436.0,1506.0,1570.0,1635.0,1719.0,1796.0,1854.0,1924.0,1984.0,2050.0,2108.0,2169.0,2238.0,2312.0,2363.0,2429.0,2509.0,2585.0,2653.0,2720.0,2773.0,2837.0,2891.0,2951.0,3004.0,3067.0,3125.0,3197.0,3260.0,3334.0,3414.0,3476.0,3544.0,3628.0,3681.0,3754.0,3835.0,3896.0,3976.0,4051.0,4122.0,4197.0,4257.0,4320.0,4399.0,4478.0,4549.0,4613.0,4688.0,4760.0,4837.0,4903.0,4966.0,5036.0,5104.0,5161.0,5225.0,5297.0,5356.0,5424.0,5492.0,5571.0,5625.0,5695.0,5780.0,5843.0,5899.0,5961.0,6033.0,7086.652,8170.732,8228.732,8303.732,8374.732,8450.732,8504.732,8553.732,8609.732,8676.732,8753.732,8804.732,8883.732,8961.732,9032.732,9100.732,9164.732,9240.732,9299.732,9378.732,9437.732,9514.732,9590.732,9660.732,9737.732,9807.732,9866.732,9930.732,9998.732
15 54.0,127.0,204.0,267.0,327.0,396.0,468.0,518.0,600.0,663.0,728.0,796.0,866.0,931.0,995.0,1069.0,1150.0,1218.0,1289.0,1349.0,1418.0,1486.0,1550.0,1623.0,1693.0,1756.0,1823.0,1878.0,1947.0,2019.0,2089.0,2153.0,2218.0,2286.0,2350.0,2408.0,2461.0,2529.0,2600.0,2664.0,2728.0,2783.0,2852.0,2918.0,2979.0,3069.0,3132.0,3184.0,3248.0,3310.0,3384.0,3452.0,3523.0,3588.0,3661.0,3735.0,3794.0,3881.0,3939.0,4001.0,4060.0,4118.0,4186.0,4249.0,4318.0,4386.0,4444.0,4502.0,4579.0,4640.0,4724.0,4789.0,4853.0,4930.0,4994.0,5057.0,5129.0,5194.0,5271.0,5326.0,5387.0,5463.0,5535.0,5608.0,5671.0,5727.0,5792.0,5858.0,5924.0,5991.0,6048.0,7059.652,8067.652,8181.732,8237.732,8295.732,8363.732,8422.732,8497.732,8572.732,8643.732,8724.732,8789.732,8857.732,8932.732,8997.732,9066.732,9122.732,9184.732,9257.732,9320.732,9379.732,9441.732,9524.732,9594.732,9665.732,9721.732,9767.732,9846.732,9912.732,9980.732
16 55.0,129.0,177.0,259.0,309.0,368.0,436.0,496.0,564.0,640.0,690.0,752.0,827.0,891.0,967.0,1033.0,1091.0,1168.0,1227.0,1296.0,1362.0,1424.0,1494.0,1561.0,1631.0,1689.0,1757.0,1826.0,1911.0,1983.0,2039.0,2101.0,2185.0,2243.0,2314.0,2385.0,2453.0,2513.0,2583.0,2668.0,2759.0,2829.0,2898.0,2979.0,3049.0,3119.0,3188.0,3247.0,3313.0,3386.0,3454.0,3514.0,3604.0,3671.0,3742.0,3804.0,3871.0,3940.0,4016.0,4089.0,4163.0,4227.0,4289.0,4353.0,4409.0,4471.0,4538.0,4612.0,4680.0,4753.0,4803.0,4871.0,4952.0,5011.0,5077.0,5139.0,5198.0,5275.0,5348.0,5421.0,5488.0,5544.0,5605.0,5673.0,5738.0,5803.0,5885.0,5953.0,6021.0,7061.652,8023.652,8170.732,8245.732,8303.732,8375.732,8435.732,8508.732,8576.732,8647.732,8716.732,8782.732,8851.732,8906.732,8965.732,9039.732,9105.732,9167.732,9219.732,9270.732,9340.732,9406.732,9469.732,9536.732,9595.732,9660.732,9724.732,9782.732,9844.732,9903.732,9976.732
17 66.0,131.0,195.0,260.0,312.0,385.0,449.0,527.0,602.0,672.0,745.0,821.0,873.0,935.0,1013.0,1091.0,1157.0,1223.0,1296.0,1356.0,1422.0,1490.0,1569.0,1631.0,1695.0,1776.0,1847.0,1917.0,1990.0,2057.0,2122.0,2185.0,2256.0,2317.0,2376.0,2437.0,2503.0,2565.0,2643.0,2703.0,2765.0,2822.0,2890.0,2954.0,3015.0,3087.0,3147.0,3223.0,3292.0,3370.0,3430.0,3484.0,3558.0,3620.0,3690.0,3742.0,3813.0,3877.0,3939.0,4020.0,4098.0,4158.0,4223.0,4287.0,4343.0,4409.0,4476.0,4538.0,4592.0,4653.0,4718.0,4787.0,4843.0,4911.0,4996.0,5059.0,5128.0,5207.0,5268.0,5336.0,5410.0,5478.0,5537.0,5605.0,5664.0,5734.0,5799.0,5878.0,5950.0,6005.0,6070.0,7062.652,8044.652,8169.732,8244.732,8307.732,8366.732,8419.732,8483.732,8558.732,8621.732,8670.732,8735.732,8802.732,8867.732,8927.732,8997.732,9056.732,9138.732,9207.732,9275.732,9349.732,9407.732,9477.732,9556.732,9621.732,9693.732,9766.732,9838.732,9909.732,9983.732
18 62.0,122.0,188.0,264.0,338.0,409.0,471.0,529.0,603.0,675.0,735.0,806.0,873.0,939.0,985.0,1053.0,1132.0,1194.0,1257.0,1321.0,1375.0,1451.0,1518.0,1574.0,1653.0,1714.0,1790.0,1839.0,1908.0,1966.0,2037.0,2112.0,2172.0,2239.0,2307.0,2376.0,2449.0,2525.0,2582.0,2657.0,2723.0,2791.0,2843.0,2907.0,2967.0,3050.0,3118.0,3192.0,3247.0,3304.0,3368.0,3437.0,3505.0,3570.0,3645.0,3715.0,3792.0,3860.0,3920.0,3996.0,4053.0,4114.0,4180.0,4258.0,4325.0,4388.0,4468.0,4534.0,4616.0,4692.0,4765.0,4846.0,4911.0,4986.0,5042.0,5114.0,5180.0,5248.0,5318.0,5380.0,5451.0,5519.0,5583.0,5638.0,5708.0,5770.0,5836.0,5902.0,5969.0,6028.0,7068.652,8073.652,8167.732,8238.732,8310.732,8371.732,8454.732,8515.732,8582.732,8643.732,8724.732,8777.732,8856.732,8935.732,8989.732,9059.732,9137.732,9198.732,9262.732,9348.732,9432.732,9497.732,9554.732,9621.732,9689.732,9736.732,9804.732,9867.732,9943.732
19 68.0,138.0,203.0,259.0,329.0,397.0,445.0,527.0,606.0,671.0,736.0,796.0,853.0,926.0,979.0,1037.0,1105.0,1166.0,1233.0,1304.0,1372.0,1431.0,1490.0,1553.0,1618.0,1681.0,1754.0,1811.0,1884.0,1946.0,2007.0,2084.0,2156.0,2219.0,2284.0,2356.0,2428.0,2482.0,2565.0,2635.0,2704.0,2774.0,2842.0,2910.0,2985.0,3044.0,3115.0,3172.0,3243.0,3317.0,3396.0,3464.0,3524.0,3577.0,3633.0,3711.0,3776.0,3837.0,3923.0,3988.0,4048.0,4104.0,4168.0,4241.0,4302.0,4364.0,4424.0,4492.0,4563.0,4622.0,4677.0,4753.0,4845.0,4912.0,4980.0,5043.0,5098.0,5182.0,5247.0,5321.0,5383.0,5437.0,5508.0,5576.0,5642.0,5709.0,5783.0,5850.0,5920.0,5984.0,6041.0,7056.652,8103.652,8170.732,8243.732,8315.732,8385.732,8454.732,8531.732,8604.732,8676.732,8745.732,8830.732,8903.732,8964.732,9032.732,9079.732,9126.732,9202.732,9260.732,9326.732,9392.732,9462.732,9516.732,9583.732,9636.732,9694.732,9768.732,9843.732,9907.732,9968.732
20 73.0,133.0,198.0,260.0,327.0,406.0,476.0,540.0,599.0,678.0,748.0,803.0,869.0,945.0,1013.0,1078.0,1134.0,1197.0,1263.0,1327.0,1392.0,1460.0,1520.0,1580.0,1648.0,1716.0,1783.0,1845.0,1911.0,1981.0,2046.0,2106.0,2176.0,2229.0,2298.0,2370.0,2446.0,2500.0,2567.0,2636.0,2694.0,2753.0,2823.0,2895.0,2975.0,3037.0,3111.0,3169.0,3243.0,3323.0,3394.0,3451.0,3512.0,3569.0,3631.0,3683.0,3759.0,3834.0,3907.0,3974.0,4044.0,4109.0,4168.0,4235.0,4291.0,4355.0,4418.0,4486.0,4560.0,4628.0,4707.0,4782.0,4849.0,4910.0,4990.0,5055.0,5125.0,5189.0,5256.0,5323.0,5395.0,5442.0,5509.0,5576.0,5638.0,5702.0,5788.0,5845.0,5908.0,5970.0,6056.0,7135.652,8164.732,8225.732,8291.732,8354.732,8427.732,8484.732,8554.732,8633.732,8705.732,8768.732,8832.732,8902.732,8977.732,9035.732,9096.732,9152.732,9223.732,9294.732,9359.732,9420.732,9480.732,9532.732,9585.732,9649.732,9720.732,9778.732,9838.732,9913.732,9982.732
21 54.0,119.0,202.0,267.0,334.0,407.0,469.0,540.0,617.0,695.0,760.0,824.0,891.0,968.0,1034.0,1097.0,1168.0,1257.0,1313.0,1401.0,1458.0,1525.0,1582.0,1644.0,1705.0,1789.0,1858.0,1917.0,1989.0,2056.0,2110.0,2170.0,2239.0,2296.0,2368.0,2440.0,2503.0,2569.0,2645.0,2708.0,2780.0,2862.0,2922.0,2991.0,3087.0,3136.0,3191.0,3265.0,3342.0,3412.0,3493.0,3554.0,3609.0,3673.0,3738.0,3812.0,3872.0,3937.0,4007.0,4068.0,4135.0,4193.0,4244.0,4305.0,4370.0,4445.0,4500.0,4559.0,4627.0,4699.0,4753.0,4818.0,4879.0,4948.0,5002.0,5064.0,5131.0,5205.0,5264.0,5329.0,5403.0,5470.0,5537.0,5605.0,5672.0,5734.0,5803.0,5866.0,5935.0,5995.0,6058.0,7122.652,8087.652,8175.732,8242.732,8293.732,8365.732,8443.732,8503.732,8572.732,8646.732,8714.732,8787.732,8850.732,8904.732,8969.732,9046.732,9118.732,9186.732,9258.732,9325.732,9384.732,9443.732,9526.732,9596.732,9674.732,9751.732,9821.732,9894.732,9953.732
22 66.0,132.0,210.0,279.0,361.0,429.0,485.0,550.0,610.0,676.0,743.0,803.0,871.0,937.0,1001.0,1061.0,1128.0,1175.0,1246.0,1308.0,1384.0,1453.0,1524.0,1593.0,1658.0,1722.0,1800.0,1865.0,1933.0,1999.0,2068.0,2128.0,2191.0,2259.0,2329.0,2405.0,2465.0,2534.0,2597.0,2672.0,2742.0,2804.0,2875.0,2947.0,3010.0,3062.0,3120.0,3197.0,3261.0,3319.0,3377.0,3460.0,3529.0,3598.0,3660.0,3735.0,3796.0,3868.0,3921.0,4004.0,4074.0,4142.0,4201.0,4262.0,4326.0,4397.0,4474.0,4547.0,4621.0,4688.0,4762.0,4835.0,4905.0,4957.0,5025.0,5104.0,5172.0,5249.0,5333.0,5393.0,5455.0,5517.0,5569.0,5628.0,5693.0,5768.0,5814.0,5887.0,5951.0,6015.0,7096.652,8182.732,8256.732,8328.732,8375.732,8447.732,8505.732,8573.732,8651.732,8722.732,8780.732,8858.732,8918.732,8984.732,9035.732,9105.732,9169.732,9228.732,9297.732,9369.732,9429.732,9480.732,9540.732,9595.732,9656.732,9734.732,9797.732,9861.732,9927.732,9995.732
